ID	REG	FOCUS	DSID	HAB_CO	HAB_CH	HAB_FI	PRE_CO	PRE_CH	PRE_FI	NPROJ	ACTION	COST	POST_CO	POST_CH	POST_FI
113ts2	Coos	1.0	NA	0.0	0.0	0.0154347289926607	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
114ts2	Coos	1.0	NA	0.0	0.0	0.0150622632186795	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
115ts2	Coos	1.0	NA	0.0	0.0	0.0398546032911499	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
116ts2	Coos	1.0	NA	0.0	0.0	0.0135466521288813	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
117ts2	Coos	1.0	NA	0.0	0.0	0.003666007585122	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
118ts2	Coos	1.0	NA	0.0	0.0	0.0010120299581199	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
121ts2	Coos	1.0	NA	0.0	0.0	0.0197145059211808	0.400000005960465	0.400000005960465	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
122ts2	Coos	1.0	NA	0.0	0.0	0.0137997356284491	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
134ts2	Coos	1.0	99ts2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
129ts2	Coos	1.0	45ts2	0.0	0.0	0.0080982489045445	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
130ts2	Coos	1.0	45ts2	0.0	0.0	0.0208020454651391	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
136ts2	Coos	1.0	NA	0.0	0.0	0.0011810173586154	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
135ts2	Coos	1.0	22ts2	0.0	0.0	0.0417379057557685	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
137ts2	Coos	1.0	NA	0.0	0.0	0.0018491956890256	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
138ts2	Coos	1.0	NA	0.0	0.0	0.0081371825000139	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
139ts2	Coos	1.0	NA	0.0	0.0	0.0022827169986395	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
140ts2	Coos	1.0	48ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
141ts2	Coos	1.0	48ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
142ts2	Coos	1.0	NA	0.0	0.0	0.006092940210092	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
143ts2	Coos	1.0	NA	0.0	0.0	0.0032563355777871	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
144ts2	Coos	1.0	NA	0.0	0.0	0.0041189918438611	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
145ts2	Coos	1.0	48ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
146ts2	Coos	1.0	48ts2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
147ts2	Coos	1.0	48ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
148ts2	Coos	1.0	99ts2	5.04182867397976e-05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
149ts2	Coos	1.0	99ts2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
150ts2	Coos	1.0	99ts2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
151ts2	Coos	1.0	NA	0.0	0.0	0.0020180470610816	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
152ts2	Coos	1.0	NA	0.0533400286294853	0.0	0.0722379227087606	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
153ts2	Coos	1.0	NA	0.0	0.118889123847006	0.0299640335816012	0.0	0.0	0.0	1.0	0.0	1080000.0	1.0	1.0	1.0
154ts2	Coos	1.0	NA	0.0135519987747654	0.0130429920374662	0.0078335165929704	0.0	0.0	0.0	1.0	0.0	360000.0	1.0	1.0	1.0
155ts2	Coos	1.0	NA	0.0	0.0	0.0067459207796868	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
156ts2	Coos	1.0	NA	0.0	0.0	0.012774916210091	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
157ts2	Coos	1.0	NA	0.0029211012804882	0.0657362363677505	0.0035392418197226	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
158ts2	Coos	1.0	157ts2	0.0	0.0	0.0057139668355646	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
160ts2	Coos	1.0	NA	0.0	0.0	0.0060989185604755	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
159ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	540000.0	1.0	1.0	1.0
0ts2	Coos	1.0	46ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
161ts2	Coos	1.0	NA	0.178540218168526	0.0	0.110169223476857	0.0	0.0	0.0	1.0	0.0	540000.0	1.0	1.0	1.0
3643fs2	Coos	1.0	22ts2	0.0011820940875151	0.0	0.0	1.0	1.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
3646fs2	Coos	1.0	19ts2	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
3647fs2	Coos	1.0	3648fs2	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
3648fs2	Coos	1.0	21ts2	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
3889fs2	Coos	1.0	38726fs2	0.0	0.0	0.0	0.100000001490116	0.0	0.0	1.0	0.0	75000.0	1.0	1.0	1.0
3892fs2	Coos	1.0	45ts2	0.0956126311655808	0.198819963687369	0.0	1.0	1.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
4451fs2	Coos	1.0	48ts2	0.0	0.0	0.0	0.100000001490116	0.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
5008fs2	Coos	1.0	120ts2	0.0	0.0	0.0	0.400000005960465	0.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
5777fs2	Coos	1.0	159ts2	0.108748319247631	0.0	0.0	1.0	1.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
7100fs2	Coos	1.0	45ts2	0.0602786024986966	0.0	0.0	0.100000001490116	0.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
8916fs2	Coos	1.0	35752fs2	0.134594011024498	0.169918516826517	0.0	1.0	1.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
8917fs2	Coos	1.0	66ts2	0.0687128434674081	0.143055670799282	0.0	1.0	1.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
8918fs2	Coos	1.0	66ts2	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
10150fs2	Coos	1.0	10151fs2	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
10151fs2	Coos	1.0	46ts2	0.0975080100817381	0.0	0.0	1.0	1.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
10152fs2	Coos	1.0	46ts2	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
10153fs2	Coos	1.0	48ts2	0.200048253558159	0.0605679054045475	0.0	1.0	0.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
10317fs2	Coos	1.0	10151fs2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
12241fs2	Coos	1.0	15621fs2	0.0	0.0	0.0	0.400000005960465	0.400000005960465	0.0	0.0	0.0	0.0	1.0	1.0	1.0
23838fs2	Coos	1.0	106ts2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	75000.0	1.0	1.0	1.0
23976fs2	Coos	1.0	3892fs2	0.0854889584450773	0.0	0.0	0.100000001490116	0.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
24501fs2	Coos	1.0	10151fs2	0.104709261622468	0.0	0.0	0.0	0.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
24521fs2	Coos	1.0	138ts2	0.0	0.0	0.0	0.100000001490116	0.0	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
24524fs2	Coos	1.0	23976fs2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
24527fs2	Coos	1.0	10151fs2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	75000.0	1.0	1.0	1.0
24748fs2	Coos	1.0	8916fs2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
14766fs2	Coos	1.0	8917fs2	0.0	0.0	0.0	0.400000005960465	0.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
15926fs2	Coos	1.0	8917fs2	0.0565091605461365	0.0074141227992321	0.0	0.400000005960465	0.400000005960465	0.0	1.0	0.0	300000.0	1.0	1.0	1.0
17243fs2	Coos	1.0	8917fs2	0.0	0.0	0.0	0.100000001490116	0.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
3888fs2	Coos	1.0	NA	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
3955fs2	Coos	1.0	8917fs2	0.0	0.0	0.0	0.100000001490116	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
5473fs2	Coos	1.0	NA	0.0	0.0	0.0	0.100000001490116	0.100000001490116	0.0	1.0	0.0	150000.0	1.0	1.0	1.0
5609fs2	Coos	1.0	15ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
6058fs2	Coos	1.0	52ts2	0.0890366861237279	0.0186068245343648	0.0	0.100000001490116	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
28666fs2	Coos	1.0	28665fs2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
28667fs2	Coos	1.0	52ts2	0.0	0.0	0.0	0.100000001490116	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
28668fs2	Coos	1.0	52ts2	0.0	0.0	0.0	0.400000005960465	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
28669fs2	Coos	1.0	52ts2	0.0	0.0	0.0	0.400000005960465	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
28670fs2	Coos	1.0	52ts2	0.0	0.0	0.0	0.400000005960465	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
28671fs2	Coos	1.0	52ts2	0.0	0.0	0.0	0.100000001490116	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
32733fs2	Coos	1.0	99ts2	0.0039597549298316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
34990fs2	Coos	1.0	34991fs2	0.0716224893859032	0.149011384336101	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
34991fs2	Coos	1.0	48ts2	0.0685080206933546	0.142531702365044	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
34996fs2	Coos	1.0	22ts2	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
35002fs2	Coos	1.0	99ts2	0.229760440472525	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
35752fs2	Coos	1.0	27ts2	0.149680708314316	0.311925278009231	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
35753fs2	Coos	1.0	48ts2	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
38726fs2	Coos	1.0	3892fs2	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
38727fs2	Coos	1.0	3892fs2	0.128789105475089	0.0	0.0	0.400000005960465	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
